,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
155,200727750096_R03C01,39.3322011879588,48.2302504140304,30.3175639005876
156,200727750096_R04C01,41.2472277690741,49.1634862968081,22.4237374650572
157,200727750096_R05C01,44.1945720720426,48.7053757227058,32.3359822703792
158,200727750096_R06C01,45.0252784478965,48.6082702439837,22.0007774130983
159,200727750096_R07C01,58.7842901425501,64.3668918477004,43.7346263253404
160,200727750096_R08C01,57.1100520122733,62.4117932318587,42.7899887707672
161,200705360035_R01C01,38.6199898229355,50.163516094345,33.9148741211708
162,200705360035_R02C01,42.2459395320588,50.0245337663568,27.5917142997415
163,200705360035_R03C01,40.8581402501112,49.4061536230122,31.1729009034721
164,200705360035_R04C01,41.1026911933215,43.3322456098765,25.3094565195064
165,200705360035_R05C01,43.6174032617296,46.211460967359,21.8252200308008
166,200705360035_R06C01,39.0918030652944,45.8852489131477,13.5153863586861
167,200705360035_R07C01,70.0832899512193,77.1031412741249,50.1809817824763
168,200705360035_R08C01,69.230562410618,74.5323928278566,63.2679338878347
169,200705860079_R01C01,56.8619456791374,62.0571720856011,38.7859086095923
170,200705860079_R02C01,58.8317298906399,61.8005438325689,46.2182228464186
171,200705860079_R03C01,34.79219658134,44.326690002756,16.3993637017064
172,200705860079_R04C01,34.57665113998,42.1423654946401,13.6200315583786
173,200705860079_R05C01,61.8167740354575,63.3807963908171,49.7033674880747
174,200705860079_R06C01,61.9033297114978,65.7459324433452,51.9095675238891
175,200705860079_R07C01,46.2943961013945,52.4418173116369,34.266846533354
176,200705860079_R08C01,41.9819923849821,53.2627047393485,29.9024191387525
177,200712160033_R01C01,53.4950377146571,56.2034196286772,36.8380915224567
178,200712160033_R02C01,59.5320036581391,63.4579767939951,43.8884074077203
179,200712160033_R03C01,43.6831699851015,52.7342219651237,29.718394640179
180,200712160033_R04C01,42.0433387717884,53.4944481514913,27.4128062500933
181,200712160033_R05C01,46.6342366468776,47.5125908769405,29.9688093511377
182,200712160033_R06C01,50.4321262778469,51.9883504208371,32.1432928296413
183,200712160033_R07C01,61.712500826267,68.814752578085,46.5743904957648
184,200712160033_R08C01,63.7958217824519,71.9701174511502,49.0494090759655
185,200705940088_R01C01,52.7267444671278,56.9226962688822,29.3286731512295
186,200705940088_R02C01,54.8244035055165,55.6823102045899,34.5855789644585
187,200705940088_R03C01,69.6415715816167,74.7674419093776,62.5037825304331
188,200705940088_R04C01,64.0695841294707,71.8319059461712,57.4232725639651
189,200705940088_R05C01,58.2784424292899,64.0510884044088,46.8300609874543
190,200705940088_R06C01,52.8803528987117,61.8922072099477,42.3651580608538
191,200705940088_R07C01,39.1674888442134,48.4374485228866,25.4784515511607
192,200705940088_R08C01,34.186572702792,38.7543787194702,16.9509439454676
193,200712160082_R01C01,71.262092687764,70.4110632661694,52.495658933309
194,200712160082_R02C01,71.5621205059256,74.959223942625,60.9806056960116
195,200712160082_R03C01,43.3554509482821,55.1779491797414,33.2815517762419
196,200712160082_R04C01,45.9155197170109,58.9866327981358,37.6882826621329
197,200712160082_R05C01,55.692066376685,59.0049341211315,42.5395025297884
198,200712160082_R06C01,52.3314584846404,59.504772965065,38.1862086154444
199,200712160082_R07C01,34.3915370310402,43.1132649138724,12.3201028882638
200,200712160082_R08C01,35.1544878352157,38.0120627431595,18.396800383148
201,200712160002_R01C01,66.1070978750413,67.9367364670828,47.3274809558352
202,200712160002_R02C01,65.2721934269632,68.3306038018108,51.8244618229363
203,200712160002_R03C01,34.6246272643377,51.6234654504463,23.3277859766855
204,200712160002_R04C01,37.2773272287032,45.8238247998287,30.169876236822
205,200712160002_R05C01,61.4285192232858,69.2677469250055,54.388512127372
206,200712160002_R06C01,61.8166065553891,66.9966108312097,46.6605668558443
207,200712160002_R07C01,35.4802383464594,41.5084741195922,16.9284765073567
208,200712160002_R08C01,38.4935941829355,39.2329990531035,13.6208959800603
209,200715340013_R01C01,50.4091392543537,51.9519641497734,30.9235884066001
210,200715340013_R02C01,51.0750474754155,50.5426693084952,36.0448407426017
211,200715340013_R03C01,59.9010771826231,62.1151027918525,36.2140364793316
212,200715340013_R04C01,64.5074887232122,70.4475965861357,54.8946592991448
213,200715340013_R05C01,62.5182217408927,65.9928349003161,45.286128678475
214,200715340013_R06C01,64.9846225675531,72.2367940051351,52.0360435670976
